,FL_DATE,state,latitude,longitude,temperature
108,2023-06-10,Mississippi,32.354668,-89.398528,25.37
109,2023-06-10,South Dakota,43.969515,-99.901813,21.17
110,2023-06-10,Montana,46.879682,-110.362566,13.6
111,2023-06-11,Kentucky,37.839333,-84.270018,20.15
112,2023-06-11,North Carolina,35.759573,-79.0193,22.7
113,2023-06-11,Georgia,32.157435,-82.907123,24.95
114,2023-06-11,Tennessee,35.517491,-86.580447,24.85
115,2023-06-11,Michigan,44.314844,-85.602364,12.5
116,2023-06-11,Texas,31.968599,-99.901813,29.3
117,2023-06-11,Florida,27.664827,-81.515754,26.14
118,2023-06-11,Missouri,37.964253,-91.831833,19.45
119,2023-06-11,South Carolina,33.836081,-81.163725,22.87
120,2023-06-11,Colorado,39.550051,-105.782067,2.84
121,2023-06-11,Oklahoma,35.007752,-97.092877,25.72
122,2023-06-11,Massachusetts,42.407211,-71.382437,18.21
123,2023-06-11,Alabama,32.318231,-86.902298,26.21
124,2023-06-11,Illinois,40.633125,-89.398528,20.06
125,2023-06-11,Arizona,34.048928,-111.093731,18.97
126,2023-06-11,Alaska,63.588753,-154.493062,10.77
127,2023-06-11,Utah,39.32098,-111.093731,12.15
128,2023-06-11,Ohio,40.417287,-82.907123,19.7
129,2023-06-11,Louisiana,31.244823,-92.145024,26.05
130,2023-06-11,Indiana,40.551217,-85.602364,20.0
131,2023-06-11,Washington,47.751074,-120.740139,16.13
132,2023-06-11,Puerto Rico,18.220833,-66.590149,25.33
133,2023-06-11,California,36.778261,-119.417932,20.73
134,2023-06-11,Mississippi,32.354668,-89.398528,25.14
135,2023-06-11,Arkansas,35.20105,-91.831833,23.88
136,2023-06-11,U.S. Virgin Islands,8.3358,64.8963,29.56
137,2023-06-11,New Mexico,34.97273,-105.032363,21.46
138,2023-06-11,Montana,46.879682,-110.362566,14.48
139,2023-06-11,Minnesota,46.729553,-94.6859,14.76
140,2023-06-11,Idaho,44.068202,-114.742041,7.42
141,2023-06-11,West Virginia,38.597626,-80.454903,18.95
142,2023-06-11,North Dakota,47.551493,-101.002012,16.4
143,2023-06-11,Nevada,38.80261,-116.419389,13.71
144,2023-06-11,New York,43.299428,-74.217933,16.3
145,2023-06-11,South Dakota,43.969515,-99.901813,18.75
146,2023-06-11,Maryland,39.045755,-76.641271,23.22
147,2023-06-12,New York,43.299428,-74.217933,18.06
148,2023-06-12,North Carolina,35.759573,-79.0193,23.23
149,2023-06-12,Florida,27.664827,-81.515754,27.4
150,2023-06-12,Texas,31.968599,-99.901813,28.6
151,2023-06-12,Georgia,32.157435,-82.907123,25.8
152,2023-06-12,Tennessee,35.517491,-86.580447,20.1
153,2023-06-12,Oklahoma,35.007752,-97.092877,20.68
154,2023-06-12,Colorado,39.550051,-105.782067,2.68
155,2023-06-12,Missouri,37.964253,-91.831833,16.79
156,2023-06-12,Minnesota,46.729553,-94.6859,17.87
157,2023-06-12,Alabama,32.318231,-86.902298,26.81
158,2023-06-12,Pennsylvania,41.203322,-77.194525,20.58
159,2023-06-12,Wisconsin,43.78444,-88.787868,12.33
160,2023-06-12,Nevada,38.80261,-116.419389,12.47
161,2023-06-12,California,36.778261,-119.417932,21.04
162,2023-06-12,South Carolina,33.836081,-81.163725,23.89
163,2023-06-12,Virginia,37.431573,-78.656894,22.21
164,2023-06-12,Arkansas,35.20105,-91.831833,22.37
165,2023-06-12,Montana,46.879682,-110.362566,13.82
166,2023-06-12,Illinois,40.633125,-89.398528,15.65
167,2023-06-12,Michigan,44.314844,-85.602364,11.02
168,2023-06-12,Washington,47.751074,-120.740139,20.6
169,2023-06-12,Hawaii,19.898682,-155.665857,18.1
170,2023-06-12,U.S. Virgin Islands,8.3358,64.8963,29.41
171,2023-06-12,Massachusetts,42.407211,-71.382437,20.24
172,2023-06-12,New Jersey,40.058324,-74.405661,22.2
173,2023-06-12,Mississippi,32.354668,-89.398528,24.45
174,2023-06-12,Idaho,44.068202,-114.742041,8.21
175,2023-06-12,Ohio,40.417287,-82.907123,16.55
176,2023-06-12,Kentucky,37.839333,-84.270018,18.43
177,2023-06-12,Arizona,34.048928,-111.093731,16.67
178,2023-06-12,Utah,39.32098,-111.093731,10.55
179,2023-06-12,Iowa,41.878003,-93.097702,16.16
180,2023-06-12,Indiana,40.551217,-85.602364,15.29
181,2023-06-12,Louisiana,31.244823,-92.145024,27.35
182,2023-06-12,Kansas,39.011902,-98.484246,19.46
183,2023-06-12,South Dakota,43.969515,-99.901813,18.18
184,2023-06-12,Puerto Rico,18.220833,-66.590149,25.16
185,2023-06-12,Oregon,43.804133,-120.554201,18.25
186,2023-06-12,North Dakota,47.551493,-101.002012,18.81
187,2023-06-12,New Mexico,34.97273,-105.032363,22.4
188,2023-06-13,New York,43.299428,-74.217933,17.26
189,2023-06-13,Texas,31.968599,-99.901813,26.16
190,2023-06-13,Kansas,39.011902,-98.484246,19.97
191,2023-06-13,Georgia,32.157435,-82.907123,25.92
192,2023-06-13,Virginia,37.431573,-78.656894,20.58
193,2023-06-13,Massachusetts,42.407211,-71.382437,20.28
194,2023-06-13,Florida,27.664827,-81.515754,28.05
195,2023-06-13,Missouri,37.964253,-91.831833,17.93
196,2023-06-13,California,36.778261,-119.417932,22.93
197,2023-06-13,Illinois,40.633125,-89.398528,20.04
198,2023-06-13,Pennsylvania,41.203322,-77.194525,16.63
199,2023-06-13,North Carolina,35.759573,-79.0193,22.47
200,2023-06-13,Wyoming,43.075968,-107.290284,12.28
201,2023-06-13,Colorado,39.550051,-105.782067,0.85
202,2023-06-13,Nevada,38.80261,-116.419389,13.21
203,2023-06-13,Kentucky,37.839333,-84.270018,17.14
204,2023-06-13,South Carolina,33.836081,-81.163725,23.87
205,2023-06-13,Iowa,41.878003,-93.097702,20.2
206,2023-06-13,Wisconsin,43.78444,-88.787868,13.15
207,2023-06-13,Minnesota,46.729553,-94.6859,20.15
208,2023-06-13,Alabama,32.318231,-86.902298,25.11
209,2023-06-13,Tennessee,35.517491,-86.580447,19.38
