FL_DATE,state,latitude,longitude,temperature
2023-05-28,South Carolina,33.836081,-81.163725,15.0
2023-05-28,Washington,47.751074,-120.740139,16.09
2023-05-28,Alaska,63.588753,-154.493062,9.44
2023-05-28,Utah,39.32098,-111.093731,10.07
2023-05-28,Ohio,40.417287,-82.907123,17.86
2023-05-28,Texas,31.968599,-99.901813,22.79
2023-05-28,Arizona,34.048928,-111.093731,18.15
2023-05-28,Nevada,38.80261,-116.419389,14.73
2023-05-28,West Virginia,38.597626,-80.454903,15.47
2023-05-28,South Dakota,43.969515,-99.901813,23.26
2023-05-28,Kansas,39.011902,-98.484246,21.4
2023-05-28,Iowa,41.878003,-93.097702,19.9
2023-05-28,California,36.778261,-119.417932,22.72
2023-05-28,Colorado,39.550051,-105.782067,2.85
2023-05-29,New York,43.299428,-74.217933,21.26
2023-05-29,Michigan,44.314844,-85.602364,21.27
2023-05-29,Indiana,40.551217,-85.602364,20.63
2023-05-29,Texas,31.968599,-99.901813,22.63
2023-05-29,Arkansas,35.20105,-91.831833,22.97
2023-05-29,North Carolina,35.759573,-79.0193,19.1
2023-05-29,Arizona,34.048928,-111.093731,18.62
2023-05-29,Oklahoma,35.007752,-97.092877,21.9
2023-05-29,Washington,47.751074,-120.740139,16.14
2023-05-29,Minnesota,46.729553,-94.6859,21.34
2023-05-29,Georgia,32.157435,-82.907123,21.21
2023-05-29,Colorado,39.550051,-105.782067,4.51
2023-05-29,Virginia,37.431573,-78.656894,17.57
2023-05-29,Nebraska,41.492537,-99.901813,18.27
2023-05-29,Florida,27.664827,-81.515754,24.94
2023-05-29,Montana,46.879682,-110.362566,13.41
2023-05-29,North Dakota,47.551493,-101.002012,19.09
2023-05-29,Louisiana,31.244823,-92.145024,25.25
2023-05-29,Kansas,39.011902,-98.484246,22.78
2023-05-29,Missouri,37.964253,-91.831833,21.45
2023-05-29,Nevada,38.80261,-116.419389,14.6
2023-05-29,Ohio,40.417287,-82.907123,20.81
2023-05-29,California,36.778261,-119.417932,21.58
2023-05-29,Utah,39.32098,-111.093731,11.45
2023-05-29,Idaho,44.068202,-114.742041,5.42
2023-05-29,Tennessee,35.517491,-86.580447,17.44
2023-05-29,Mississippi,32.354668,-89.398528,23.69
2023-05-29,South Dakota,43.969515,-99.901813,21.8
2023-05-29,Maryland,39.045755,-76.641271,18.62
2023-05-30,North Carolina,35.759573,-79.0193,19.44
2023-05-30,Michigan,44.314844,-85.602364,22.64
2023-05-30,Florida,27.664827,-81.515754,25.71
2023-05-30,Texas,31.968599,-99.901813,23.21
2023-05-30,Tennessee,35.517491,-86.580447,20.38
2023-05-30,Arkansas,35.20105,-91.831833,23.84
2023-05-30,Illinois,40.633125,-89.398528,24.48
2023-05-30,Oklahoma,35.007752,-97.092877,22.75
2023-05-30,Colorado,39.550051,-105.782067,6.17
2023-05-30,Iowa,41.878003,-93.097702,23.67
2023-05-30,New Mexico,34.97273,-105.032363,21.01
2023-05-30,Washington,47.751074,-120.740139,14.99
2023-05-30,Virginia,37.431573,-78.656894,18.39
2023-05-30,Georgia,32.157435,-82.907123,22.51
2023-05-30,Hawaii,19.898682,-155.665857,17.09
2023-05-30,Arizona,34.048928,-111.093731,19.03
2023-05-30,Louisiana,31.244823,-92.145024,26.06
2023-05-30,Kansas,39.011902,-98.484246,24.45
2023-05-30,Missouri,37.964253,-91.831833,22.55
2023-05-30,Nevada,38.80261,-116.419389,16.05
2023-05-30,Alabama,32.318231,-86.902298,22.57
2023-05-30,Pennsylvania,41.203322,-77.194525,21.27
2023-05-30,New York,43.299428,-74.217933,19.23
2023-05-30,Utah,39.32098,-111.093731,11.53
2023-05-30,Minnesota,46.729553,-94.6859,22.17
2023-05-30,North Dakota,47.551493,-101.002012,19.0
2023-05-30,Wyoming,43.075968,-107.290284,15.77
2023-05-30,South Carolina,33.836081,-81.163725,20.31
2023-05-30,California,36.778261,-119.417932,20.84
2023-05-30,Montana,46.879682,-110.362566,14.25
2023-05-30,Idaho,44.068202,-114.742041,5.82
2023-05-30,New Jersey,40.058324,-74.405661,15.95
2023-05-31,Illinois,40.633125,-89.398528,25.42
2023-05-31,Indiana,40.551217,-85.602364,24.25
2023-05-31,Florida,27.664827,-81.515754,25.25
2023-05-31,Texas,31.968599,-99.901813,25.05
2023-05-31,Colorado,39.550051,-105.782067,4.15
2023-05-31,Utah,39.32098,-111.093731,11.67
2023-05-31,Virginia,37.431573,-78.656894,19.35
2023-05-31,Washington,47.751074,-120.740139,11.29
2023-05-31,Missouri,37.964253,-91.831833,23.43
2023-05-31,North Carolina,35.759573,-79.0193,20.33
2023-05-31,Arizona,34.048928,-111.093731,17.91
2023-05-31,Minnesota,46.729553,-94.6859,23.8
2023-05-31,Nevada,38.80261,-116.419389,15.85
2023-05-31,Georgia,32.157435,-82.907123,23.81
2023-05-31,California,36.778261,-119.417932,20.43
2023-05-31,Idaho,44.068202,-114.742041,5.3
2023-05-31,Montana,46.879682,-110.362566,14.39
2023-05-31,Kansas,39.011902,-98.484246,25.09
2023-05-31,Michigan,44.314844,-85.602364,23.7
2023-05-31,Wyoming,43.075968,-107.290284,16.26
2023-05-31,Iowa,41.878003,-93.097702,23.72
2023-05-31,Tennessee,35.517491,-86.580447,23.02
2023-05-31,New York,43.299428,-74.217933,21.13
2023-05-31,Oklahoma,35.007752,-97.092877,23.83
2022-09-01,Iowa,41.878003,-93.097702,23.32
2022-09-01,New York,43.299428,-74.217933,16.3
2022-09-01,Georgia,32.157435,-82.907123,25.17
2022-09-01,South Carolina,33.836081,-81.163725,26.62
2022-09-01,Wisconsin,43.78444,-88.787868,23.25
2022-09-01,Texas,31.968599,-99.901813,24.98
2022-09-01,Montana,46.879682,-110.362566,22.44
2022-09-01,Florida,27.664827,-81.515754,26.47
2022-09-01,Massachusetts,42.407211,-71.382437,21.19
2022-09-01,California,36.778261,-119.417932,31.87
2022-09-01,Virginia,37.431573,-78.656894,23.47
2022-09-01,Missouri,37.964253,-91.831833,22.6
2022-09-01,Illinois,40.633125,-89.398528,22.66
2022-09-01,Nevada,38.80261,-116.419389,26.2
2022-09-01,Pennsylvania,41.203322,-77.194525,21.06
2022-09-01,North Carolina,35.759573,-79.0193,24.67
2022-09-01,Nebraska,41.492537,-99.901813,24.69
2022-09-01,Tennessee,35.517491,-86.580447,23.74
2022-09-01,Kentucky,37.839333,-84.270018,22.13
2022-09-01,Colorado,39.550051,-105.782067,10.0
2022-09-01,Minnesota,46.729553,-94.6859,22.18
2022-09-01,Maryland,39.045755,-76.641271,23.96
2022-09-01,Ohio,40.417287,-82.907123,21.06
2022-09-01,Michigan,44.314844,-85.602364,20.35
2022-09-01,Oregon,43.804133,-120.554201,23.38
2022-09-01,Washington,47.751074,-120.740139,23.89
2022-09-01,Utah,39.32098,-111.093731,20.6
2022-09-01,Arizona,34.048928,-111.093731,23.67
2022-09-01,Idaho,44.068202,-114.742041,17.89
2022-09-01,Oklahoma,35.007752,-97.092877,25.12
2022-09-01,New Mexico,34.97273,-105.032363,21.19
2022-09-01,Alabama,32.318231,-86.902298,25.89
2022-09-01,Indiana,40.551217,-85.602364,23.18
2022-09-01,Maine,45.253783,-69.445469,16.61
2022-09-01,Arkansas,35.20105,-91.831833,25.24
2022-09-01,West Virginia,38.597626,-80.454903,19.13
2022-09-01,North Dakota,47.551493,-101.002012,24.42
2022-09-01,Mississippi,32.354668,-89.398528,26.28
2022-09-01,South Dakota,43.969515,-99.901813,25.62
2022-09-02,Texas,31.968599,-99.901813,26.16
2022-09-02,South Carolina,33.836081,-81.163725,25.72
2022-09-02,Oklahoma,35.007752,-97.092877,24.96
2022-09-02,Tennessee,35.517491,-86.580447,24.82
2022-09-02,Florida,27.664827,-81.515754,26.22
2022-09-02,Pennsylvania,41.203322,-77.194525,19.44
2022-09-02,Missouri,37.964253,-91.831833,21.11
2022-09-02,Utah,39.32098,-111.093731,20.75
2022-09-02,Washington,47.751074,-120.740139,24.06
2022-09-02,Georgia,32.157435,-82.907123,24.27
2022-09-02,Nevada,38.80261,-116.419389,27.67
2022-09-02,New York,43.299428,-74.217933,14.68
2022-09-02,California,36.778261,-119.417932,33.92
2022-09-02,Colorado,39.550051,-105.782067,11.18
2022-09-02,Arizona,34.048928,-111.093731,23.62
2022-09-02,New Hampshire,43.193852,-71.572395,16.87
2022-09-02,Louisiana,31.244823,-92.145024,27.59
2022-09-02,Arkansas,35.20105,-91.831833,24.17
2022-09-02,Alabama,32.318231,-86.902298,26.73
2022-09-02,Kentucky,37.839333,-84.270018,23.35
2022-09-02,Mississippi,32.354668,-89.398528,26.14
2022-09-02,New Mexico,34.97273,-105.032363,24.13
2022-09-02,Minnesota,46.729553,-94.6859,23.11
2022-09-02,Michigan,44.314844,-85.602364,22.22
2022-09-02,Kansas,39.011902,-98.484246,27.59
2022-09-02,Maryland,39.045755,-76.641271,23.77
2022-09-02,South Dakota,43.969515,-99.901813,26.32
2022-09-02,Virginia,37.431573,-78.656894,23.97
2022-09-03,Georgia,32.157435,-82.907123,24.75
2022-09-03,Texas,31.968599,-99.901813,25.21
2022-09-03,Illinois,40.633125,-89.398528,23.21
2022-09-03,Louisiana,31.244823,-92.145024,25.97
2022-09-03,Kentucky,37.839333,-84.270018,23.45
2022-09-03,California,36.778261,-119.417932,33.34
2022-09-03,Tennessee,35.517491,-86.580447,24.39
2022-09-03,Alaska,63.588753,-154.493062,8.68
2022-09-03,Florida,27.664827,-81.515754,27.05
2022-09-03,Pennsylvania,41.203322,-77.194525,21.68
2022-09-03,Utah,39.32098,-111.093731,21.8
2022-09-03,Colorado,39.550051,-105.782067,9.81
2022-09-03,New Hampshire,43.193852,-71.572395,19.11
2022-09-03,New Mexico,34.97273,-105.032363,23.42
2022-09-03,Montana,46.879682,-110.362566,24.36
2022-09-03,Washington,47.751074,-120.740139,22.17
2022-09-03,Minnesota,46.729553,-94.6859,16.33
2022-09-03,North Carolina,35.759573,-79.0193,25.6
2022-09-03,Nevada,38.80261,-116.419389,27.43
2022-09-03,Arizona,34.048928,-111.093731,23.4
2022-09-03,South Carolina,33.836081,-81.163725,25.27
2022-09-03,Wisconsin,43.78444,-88.787868,21.54
2022-09-03,Indiana,40.551217,-85.602364,23.98
2022-09-03,Virginia,37.431573,-78.656894,25.18
2022-09-03,Ohio,40.417287,-82.907123,22.97
2022-09-04,Arkansas,35.20105,-91.831833,24.87
2022-09-04,Georgia,32.157435,-82.907123,24.42
2022-09-04,Louisiana,31.244823,-92.145024,25.45
2022-09-04,North Carolina,35.759573,-79.0193,26.11
2022-09-04,Texas,31.968599,-99.901813,26.47
2022-09-04,Alabama,32.318231,-86.902298,25.65
2022-09-04,California,36.778261,-119.417932,33.25
2022-09-04,South Carolina,33.836081,-81.163725,25.83
2022-09-04,Pennsylvania,41.203322,-77.194525,23.78
2022-09-04,Florida,27.664827,-81.515754,27.9
2022-09-04,Oklahoma,35.007752,-97.092877,26.19
2022-09-04,Utah,39.32098,-111.093731,22.32
2022-09-04,Colorado,39.550051,-105.782067,10.62
2022-09-04,Illinois,40.633125,-89.398528,21.8
2022-09-04,Oregon,43.804133,-120.554201,20.53
2022-09-04,Tennessee,35.517491,-86.580447,23.01
2022-09-04,Virginia,37.431573,-78.656894,24.93
2022-09-04,Arizona,34.048928,-111.093731,24.11
2022-09-04,Idaho,44.068202,-114.742041,17.83
2022-09-04,Iowa,41.878003,-93.097702,20.94
2022-09-04,Maine,45.253783,-69.445469,18.31
2022-09-04,Missouri,37.964253,-91.831833,21.56
2022-09-04,New Mexico,34.97273,-105.032363,23.26
2022-09-04,Ohio,40.417287,-82.907123,21.37
2022-09-04,Minnesota,46.729553,-94.6859,15.23
2022-09-04,Kentucky,37.839333,-84.270018,23.18
2022-09-04,Nevada,38.80261,-116.419389,26.56
2022-09-04,Michigan,44.314844,-85.602364,17.15
2022-09-04,Mississippi,32.354668,-89.398528,25.22
2022-09-05,New York,43.299428,-74.217933,16.33
2022-09-05,North Carolina,35.759573,-79.0193,24.78
2022-09-05,Montana,46.879682,-110.362566,22.29
2022-09-05,U.S. Virgin Islands,8.3358,64.8963,27.31
2022-09-05,Georgia,32.157435,-82.907123,25.69
2022-09-05,Puerto Rico,18.220833,-66.590149,23.57
2022-09-05,Illinois,40.633125,-89.398528,21.0
2022-09-05,Florida,27.664827,-81.515754,27.93
2022-09-05,Colorado,39.550051,-105.782067,12.26
2022-09-05,Pennsylvania,41.203322,-77.194525,21.11
2022-09-05,Wyoming,43.075968,-107.290284,25.35
2022-09-05,Tennessee,35.517491,-86.580447,22.59
