FL_DATE,state,latitude,longitude
2023-02-06,New Mexico,34.97273,-105.032363
2023-02-06,California,36.778261,-119.417932
2023-02-06,Ohio,40.417287,-82.907123
2023-02-06,Georgia,32.157435,-82.907123
2023-02-06,Colorado,39.550051,-105.782067
2023-02-06,Wyoming,43.075968,-107.290284
2023-02-06,New Jersey,40.058324,-74.405661
2023-02-06,Virginia,37.431573,-78.656894
2023-02-06,Massachusetts,42.407211,-71.382437
2023-02-06,Vermont,44.558803,-72.577841
2023-02-07,Texas,31.968599,-99.901813
2023-02-07,Alabama,32.318231,-86.902298
2023-02-07,Utah,39.32098,-111.093731
2023-02-07,Puerto Rico,18.220833,-66.590149
2023-02-07,Illinois,40.633125,-89.398528
2023-02-07,Florida,27.664827,-81.515754
2023-02-07,Michigan,44.314844,-85.602364
2023-02-07,Mississippi,32.354668,-89.398528
2023-02-07,Ohio,40.417287,-82.907123
2023-02-08,Louisiana,31.244823,-92.145024
2023-02-08,Texas,31.968599,-99.901813
2023-02-08,Wisconsin,43.78444,-88.787868
2023-02-08,Arkansas,35.20105,-91.831833
2023-02-08,Georgia,32.157435,-82.907123
2023-02-08,Illinois,40.633125,-89.398528
2023-02-08,Oklahoma,35.007752,-97.092877
2023-02-08,Virginia,37.431573,-78.656894
2023-02-08,Hawaii,19.898682,-155.665857
2023-02-08,Indiana,40.551217,-85.602364
2023-02-08,New Mexico,34.97273,-105.032363
2023-02-08,New York,43.299428,-74.217933
2023-02-08,Ohio,40.417287,-82.907123
2023-02-08,Kentucky,37.839333,-84.270018
2023-02-08,Tennessee,35.517491,-86.580447
2023-02-08,California,36.778261,-119.417932
2023-02-08,Michigan,44.314844,-85.602364
2023-02-08,Utah,39.32098,-111.093731
2023-02-08,Nebraska,41.492537,-99.901813
2023-02-08,Colorado,39.550051,-105.782067
2023-02-08,Missouri,37.964253,-91.831833
2023-02-08,Mississippi,32.354668,-89.398528
2023-02-09,Missouri,37.964253,-91.831833
2023-02-09,New York,43.299428,-74.217933
2023-02-09,Iowa,41.878003,-93.097702
2023-02-09,Colorado,39.550051,-105.782067
2023-02-09,Illinois,40.633125,-89.398528
2023-02-09,Wisconsin,43.78444,-88.787868
2023-02-09,Alaska,63.588753,-154.493062
2023-02-09,Washington,47.751074,-120.740139
2023-02-09,Kentucky,37.839333,-84.270018
2023-02-09,Massachusetts,42.407211,-71.382437
2023-02-09,Michigan,44.314844,-85.602364
2023-02-09,Texas,31.968599,-99.901813
2023-02-09,Arkansas,35.20105,-91.831833
2023-02-09,Idaho,44.068202,-114.742041
2023-02-09,Georgia,32.157435,-82.907123
2023-02-09,New Mexico,34.97273,-105.032363
2023-02-09,California,36.778261,-119.417932
2023-02-09,Oregon,43.804133,-120.554201
2023-02-09,Ohio,40.417287,-82.907123
2023-02-09,Minnesota,46.729553,-94.6859
2023-02-09,Florida,27.664827,-81.515754
2023-02-09,Nevada,38.80261,-116.419389
2023-02-09,Utah,39.32098,-111.093731
2023-02-10,New York,43.299428,-74.217933
2023-02-10,Illinois,40.633125,-89.398528
2023-02-10,Florida,27.664827,-81.515754
2023-02-10,Colorado,39.550051,-105.782067
2023-02-10,Nebraska,41.492537,-99.901813
2023-02-10,California,36.778261,-119.417932
2023-02-10,Alaska,63.588753,-154.493062
2023-02-10,Hawaii,19.898682,-155.665857
2023-02-10,New Jersey,40.058324,-74.405661
2023-02-10,Missouri,37.964253,-91.831833
2023-02-10,Louisiana,31.244823,-92.145024
2023-02-10,Nevada,38.80261,-116.419389
2023-02-10,Ohio,40.417287,-82.907123
2023-02-10,Texas,31.968599,-99.901813
2023-02-10,Washington,47.751074,-120.740139
2023-02-10,Arizona,34.048928,-111.093731
2023-02-11,Washington,47.751074,-120.740139
2023-02-11,Alaska,63.588753,-154.493062
2023-02-11,Georgia,32.157435,-82.907123
2023-02-11,North Dakota,47.551493,-101.002012
2023-02-11,Alabama,32.318231,-86.902298
2023-02-11,Arkansas,35.20105,-91.831833
2023-02-11,Florida,27.664827,-81.515754
2023-02-11,California,36.778261,-119.417932
2023-02-11,Nevada,38.80261,-116.419389
2023-02-11,Colorado,39.550051,-105.782067
2023-02-11,Virginia,37.431573,-78.656894
2023-02-12,Florida,27.664827,-81.515754
2023-02-12,Virginia,37.431573,-78.656894
2023-02-12,Washington,47.751074,-120.740139
2023-02-12,Alaska,63.588753,-154.493062
2023-02-12,Nevada,38.80261,-116.419389
2023-02-12,Illinois,40.633125,-89.398528
2023-02-12,Texas,31.968599,-99.901813
2023-02-12,California,36.778261,-119.417932
2023-02-12,Arizona,34.048928,-111.093731
2023-02-12,Colorado,39.550051,-105.782067
2023-02-12,Oregon,43.804133,-120.554201
2023-02-12,New York,43.299428,-74.217933
2023-02-12,Michigan,44.314844,-85.602364
2023-02-13,Idaho,44.068202,-114.742041
2023-02-13,Michigan,44.314844,-85.602364
2023-02-13,Wisconsin,43.78444,-88.787868
2023-02-13,Washington,47.751074,-120.740139
2023-02-13,Alaska,63.588753,-154.493062
