FL_DATE,state,latitude,longitude,temperature
2023-06-23,U.S. Virgin Islands,8.3358,64.8963,28.8
2023-06-23,Kansas,39.011902,-98.484246,24.47
2023-06-23,Idaho,44.068202,-114.742041,7.57
2023-06-23,Rhode Island,41.580095,-71.477429,18.9
2023-06-24,Puerto Rico,18.220833,-66.590149,24.0
2023-06-24,Connecticut,41.603221,-73.087749,19.97
2023-06-24,South Carolina,33.836081,-81.163725,24.2
2023-06-24,California,36.778261,-119.417932,21.53
2023-06-24,Arizona,34.048928,-111.093731,21.23
2023-06-24,Kentucky,37.839333,-84.270018,21.84
2023-06-24,Alaska,63.588753,-154.493062,15.58
2023-06-24,Utah,39.32098,-111.093731,11.76
2023-06-24,North Dakota,47.551493,-101.002012,16.49
2023-06-24,Oklahoma,35.007752,-97.092877,28.01
2023-06-24,Nebraska,41.492537,-99.901813,21.31
2023-06-25,U.S. Virgin Islands,8.3358,64.8963,28.03
2023-06-25,Kansas,39.011902,-98.484246,24.66
2023-06-25,Puerto Rico,18.220833,-66.590149,23.8
2023-06-25,Alaska,63.588753,-154.493062,16.25
2023-06-25,Utah,39.32098,-111.093731,15.19
2023-06-25,Vermont,44.558803,-72.577841,21.25
2023-06-25,Iowa,41.878003,-93.097702,22.03
2023-06-25,Oregon,43.804133,-120.554201,17.41
2023-06-25,Wyoming,43.075968,-107.290284,12.68
2023-06-25,South Dakota,43.969515,-99.901813,19.98
2023-06-26,Arizona,34.048928,-111.093731,25.35
2023-06-26,Rhode Island,41.580095,-71.477429,21.4
2023-06-26,Puerto Rico,18.220833,-66.590149,24.57
2023-06-26,Alabama,32.318231,-86.902298,27.52
2023-06-26,U.S. Virgin Islands,8.3358,64.8963,27.43
2023-06-26,Nebraska,41.492537,-99.901813,19.4
2023-06-26,North Dakota,47.551493,-101.002012,20.01
2023-06-26,New Hampshire,43.193852,-71.572395,21.15
2023-06-27,Arizona,34.048928,-111.093731,24.29
2023-06-27,Missouri,37.964253,-91.831833,23.91
2023-06-27,Connecticut,41.603221,-73.087749,20.47
2023-06-27,Indiana,40.551217,-85.602364,19.7
2023-06-27,South Carolina,33.836081,-81.163725,26.7
2023-06-27,West Virginia,38.597626,-80.454903,18.23
2023-06-27,Alabama,32.318231,-86.902298,28.64
2023-06-27,Wyoming,43.075968,-107.290284,15.3
2023-06-27,South Dakota,43.969515,-99.901813,22.13
2023-06-27,Mississippi,32.354668,-89.398528,27.87
2023-06-28,California,36.778261,-119.417932,24.1
2023-06-28,Washington,47.751074,-120.740139,19.95
2023-06-28,South Carolina,33.836081,-81.163725,25.67
2023-06-28,Arizona,34.048928,-111.093731,23.35
2023-06-28,Oklahoma,35.007752,-97.092877,31.42
2023-06-28,Kentucky,37.839333,-84.270018,22.27
2023-06-28,Nevada,38.80261,-116.419389,17.01
2023-06-28,Missouri,37.964253,-91.831833,26.03
2023-06-28,Ohio,40.417287,-82.907123,19.41
2023-06-28,Maryland,39.045755,-76.641271,21.86
2023-06-28,Louisiana,31.244823,-92.145024,31.22
2023-06-28,Minnesota,46.729553,-94.6859,19.98
2023-06-28,Tennessee,35.517491,-86.580447,25.23
2023-06-29,Virginia,37.431573,-78.656894,22.97
2023-06-29,Massachusetts,42.407211,-71.382437,21.35
2023-06-29,South Carolina,33.836081,-81.163725,26.25
2023-06-29,New Hampshire,43.193852,-71.572395,20.53
2023-06-29,Rhode Island,41.580095,-71.477429,21.13
2023-06-29,Ohio,40.417287,-82.907123,21.5
2023-06-29,Hawaii,19.898682,-155.665857,17.26
2023-06-29,Maryland,39.045755,-76.641271,22.24
2023-06-30,U.S. Virgin Islands,8.3358,64.8963,28.2
2023-06-30,Puerto Rico,18.220833,-66.590149,24.9
2023-06-30,Rhode Island,41.580095,-71.477429,21.09
2023-06-30,Louisiana,31.244823,-92.145024,32.11
2023-06-30,New Mexico,34.97273,-105.032363,24.89
2023-10-01,West Virginia,38.597626,-80.454903,17.09
2023-10-01,Pennsylvania,41.203322,-77.194525,18.61
2023-10-01,Virginia,37.431573,-78.656894,19.57
2023-10-01,Tennessee,35.517491,-86.580447,22.62
2023-10-01,Idaho,44.068202,-114.742041,3.42
2023-10-01,Louisiana,31.244823,-92.145024,28.02
2023-10-01,Ohio,40.417287,-82.907123,19.16
2023-10-01,New Jersey,40.058324,-74.405661,18.59
2023-10-01,Indiana,40.551217,-85.602364,19.65
2023-10-01,Massachusetts,42.407211,-71.382437,15.8
2023-10-01,Oklahoma,35.007752,-97.092877,25.51
2023-10-01,Missouri,37.964253,-91.831833,23.87
2023-10-01,Montana,46.879682,-110.362566,5.17
2023-10-01,New Mexico,34.97273,-105.032363,20.42
2023-10-02,Michigan,44.314844,-85.602364,20.72
2023-10-02,Texas,31.968599,-99.901813,26.29
2023-10-02,Massachusetts,42.407211,-71.382437,17.08
2023-10-02,Utah,39.32098,-111.093731,3.27
2023-10-02,Pennsylvania,41.203322,-77.194525,19.17
2023-10-02,Hawaii,19.898682,-155.665857,19.33
2023-10-02,Oregon,43.804133,-120.554201,6.53
2023-10-02,Montana,46.879682,-110.362566,7.98
2023-10-02,New Jersey,40.058324,-74.405661,19.94
2023-10-02,Arizona,34.048928,-111.093731,15.03
