origin_temperature,origin_weather_delay
71.582,0.26666666666666666
71.582,0.15
72.518,3.1166666666666667
70.7,1.2666666666666666
70.7,0.45
70.7,0.5
70.7,1.5
61.862,0.3333333333333333
61.862,0.08333333333333333
61.862,1.4833333333333334
65.44399999999999,0.016666666666666666
65.44399999999999,0.15
65.44399999999999,0.7
65.44399999999999,0.1
65.44399999999999,0.05
65.44399999999999,0.6833333333333333
65.44399999999999,0.5
65.44399999999999,0.06666666666666667
65.44399999999999,0.4666666666666667
65.44399999999999,1.05
65.44399999999999,1.05
65.44399999999999,0.016666666666666666
65.44399999999999,0.16666666666666666
65.44399999999999,0.1
65.44399999999999,0.23333333333333334
65.44399999999999,0.95
65.44399999999999,0.9833333333333333
65.44399999999999,0.8666666666666667
65.44399999999999,0.5833333333333334
65.44399999999999,1.05
65.44399999999999,0.31666666666666665
65.44399999999999,0.6666666666666666
65.44399999999999,1.1666666666666667
65.44399999999999,1.2
65.44399999999999,1.4833333333333334
65.44399999999999,1.3833333333333333
65.44399999999999,0.3
65.44399999999999,0.26666666666666666
65.44399999999999,0.36666666666666664
65.44399999999999,0.2
65.44399999999999,0.15
65.44399999999999,0.13333333333333333
65.44399999999999,0.3
65.44399999999999,0.26666666666666666
65.44399999999999,0.3
65.44399999999999,0.11666666666666667
65.44399999999999,0.13333333333333333
65.44399999999999,0.11666666666666667
65.44399999999999,0.2833333333333333
65.44399999999999,0.11666666666666667
65.44399999999999,0.3
65.44399999999999,0.11666666666666667
65.44399999999999,0.18333333333333332
65.44399999999999,1.2833333333333334
65.44399999999999,0.6
65.44399999999999,0.18333333333333332
65.44399999999999,0.06666666666666667
65.44399999999999,2.4833333333333334
65.44399999999999,0.03333333333333333
65.44399999999999,0.06666666666666667
65.44399999999999,0.16666666666666666
65.44399999999999,0.25
65.44399999999999,0.016666666666666666
65.44399999999999,0.3333333333333333
65.44399999999999,0.05
65.44399999999999,0.05
65.44399999999999,0.03333333333333333
65.44399999999999,1.5833333333333333
65.44399999999999,0.05
66.938,0.2833333333333333
66.938,0.4166666666666667
65.588,0.4
65.588,0.25
70.952,0.06666666666666667
70.952,0.95
73.45400000000001,0.55
73.45400000000001,0.4166666666666667
73.45400000000001,0.2
73.45400000000001,0.15
73.45400000000001,0.11666666666666667
73.45400000000001,0.016666666666666666
73.45400000000001,0.06666666666666667
73.45400000000001,0.5666666666666667
73.45400000000001,0.36666666666666664
73.45400000000001,0.03333333333333333
73.45400000000001,0.05
73.45400000000001,0.35
