FL_DATE,state,latitude,longitude,temperature
2022-01-03,New Jersey,40.058324,-74.405661,0.9
2022-01-03,New Mexico,34.97273,-105.032363,1.25
2022-01-03,New York,43.299428,-74.217933,-8.61
2022-01-03,North Carolina,35.759573,-79.0193,9.22
2022-01-03,North Dakota,47.551493,-101.002012,-9.26
2022-01-03,Ohio,40.417287,-82.907123,-3.9
2022-01-03,Oregon,43.804133,-120.554201,-2.09
2022-01-03,Pennsylvania,41.203322,-77.194525,-2.95
2022-01-03,Puerto Rico,18.220833,-66.590149,21.47
2022-01-03,South Carolina,33.836081,-81.163725,11.01
2022-01-03,South Dakota,43.969515,-99.901813,-3.24
2022-01-03,Tennessee,35.517491,-86.580447,-0.21
2022-01-03,Texas,31.968599,-99.901813,1.86
2022-01-03,U.S. Virgin Islands,8.3358,64.8963,27.4
2022-01-03,Utah,39.32098,-111.093731,-5.84
2022-01-03,Vermont,44.558803,-72.577841,-13.62
2022-01-03,Virginia,37.431573,-78.656894,4.45
2022-01-03,Washington,47.751074,-120.740139,-8.04
2022-01-03,West Virginia,38.597626,-80.454903,-1.61
2022-01-03,Wisconsin,43.78444,-88.787868,-14.8
2022-01-03,Wyoming,43.075968,-107.290284,-4.39
2022-01-04,Alabama,32.318231,-86.902298,3.25
2022-01-04,Alaska,63.588753,-154.493062,-25.12
2022-01-04,Arizona,34.048928,-111.093731,1.81
2022-01-04,Arkansas,35.20105,-91.831833,-0.18
2022-01-04,California,36.778261,-119.417932,7.13
2022-01-04,Colorado,39.550051,-105.782067,-9.43
2022-01-04,Connecticut,41.603221,-73.087749,-5.77
2022-01-04,Florida,27.664827,-81.515754,16.63
2022-01-04,Georgia,32.157435,-82.907123,6.54
2022-01-04,Hawaii,19.898682,-155.665857,17.13
2022-01-04,Idaho,44.068202,-114.742041,-8.01
2022-01-04,Illinois,40.633125,-89.398528,-3.32
2022-01-04,Indiana,40.551217,-85.602364,-2.56
2022-01-04,Iowa,41.878003,-93.097702,-2.74
2022-01-04,Kentucky,37.839333,-84.270018,-0.91
2022-01-04,Louisiana,31.244823,-92.145024,4.06
2022-01-04,Maine,45.253783,-69.445469,-14.2
2022-01-04,Maryland,39.045755,-76.641271,-5.48
2022-01-04,Massachusetts,42.407211,-71.382437,-5.42
2022-01-04,Michigan,44.314844,-85.602364,-4.08
2022-01-04,Minnesota,46.729553,-94.6859,-11.68
2022-01-04,Missouri,37.964253,-91.831833,-0.12
2022-01-04,Montana,46.879682,-110.362566,-10.94
2022-01-04,Nevada,38.80261,-116.419389,-2.71
2022-01-04,New Hampshire,43.193852,-71.572395,-8.08
2022-01-04,New Jersey,40.058324,-74.405661,-5.5
2022-01-04,New Mexico,34.97273,-105.032363,4.4
2022-01-04,New York,43.299428,-74.217933,-8.75
2022-01-04,North Carolina,35.759573,-79.0193,2.01
